RollNo,Marks
1141,83
1204,58
1239,61
1517,100
1535,38
1550,76
1607,49
1679,79
1843,61
2042,42
2054,70
2078,83
2131,45
2170,72
2187,46
2208,42
2297,30
2440,69
2474,54
2542,75
2711,76
2933,43
3341,91
3509,52
3591,82
3631,58
3760,85
3923,70
4109,46
4498,62
4889,61
4915,53
4970,54
5343,54
5374,58
5380,57
5475,50
5542,76
5764,71
5931,53
6250,83
6341,47
6417,65
6436,52
6447,70
6456,40
6539,61
6658,85
6924,71
7069,49
7151,55
7498,53
7586,52
7589,65
7641,75
7664,68
7689,65
7706,14
7836,41
7839,71
7845,76
8043,63
8054,42
8066,51
8102,46
8115,60
8117,65
8165,67
8191,46
8273,40
8396,89
8419,61
8442,48
8620,47
8757,39
8771,48
8794,82
8824,51
9023,42
9052,65
9173,39
9241,61
9500,54
9566,51
9596,59
9993,81
9994,48
