RollNo,Marks
1141,54
1204,71
1239,63
1517,71
1535,59
1550,66
1607,61
1621,45
1679,56
1863,84
2054,57
2131,51
2170,52
2187,70
2208,76
2297,44
2440,61
2474,60
2542,57
2711,66
2933,79
3341,49
3509,65
3591,80
3631,64
3760,37
3923,53
4109,86
4498,65
4889,41
4915,36
4970,62
5074,62
5120,51
5343,67
5374,73
5380,65
5764,58
5931,89
6118,48
6341,51
6417,48
6436,36
6446,91
6447,60
6456,84
6539,56
6658,52
6924,39
7069,22
7151,100
7210,48
7498,100
7586,84
7589,68
7593,66
7641,62
7689,74
7706,68
7836,53
7845,65
8043,80
8054,86
8066,65
8102,40
8115,49
8117,47
8165,57
8191,89
8273,92
8419,28
8620,57
8771,83
8794,67
8824,56
9023,71
9052,57
9173,62
9241,61
9478,71
9500,61
9566,48
9596,66
9994,53
